Key Concept,Distractors
Standalone Application,"Web Application, Enterprise Application, Mobile Application, AWT, SWING, Servlet, JSP, Struts Framework, Spring Framework, Hibernate Framework, Java Persistence API"
Web Application,"Standalone Application, Enterprise Application, Mobile Application, AWT, SWING, Java Persistence API, Java Transaction API, Java Enterprise Bean, Java Mail"
Enterprise Application,"Standalone Application, Web Application, Mobile Application, AWT, SWING, Servlet, JSP, Struts Framework, Spring Framework, Hibernate Framework, Java Mail"
Mobile Application,"Standalone Application, Web Application, Enterprise Application, AWT, SWING, Servlet, JSP, Struts Framework, Spring Framework, Hibernate Framework, Java Mail"
Whitespace,"Case Sensitivity, Indentation, Python programming language, Space, Tab, New line"
Case Sensitivity,"Whitespace, Java, Python programming language, Variables, Inbuilt methods, int add, int ADD"
dentifiers,"Combination of uppercase and lowercase letters, numbers, dollar-sign, and underscore sign; Case sensitivity; Cannot start with a digit; Not using special characters other than underscore and dollar-sign; Valid examples: variable1, $add, _test2; Invalid examples: 1test, lower-case, ok/cancel"
Keywords,"Reserved words in Java; Cannot be used as identifiers; Include abstract, continue, for, new, switch, etc.; Additional notes: Java reserves null, true, false, var; Valid examples: class, Example2, main, String; Invalid examples: 1class, trueValue, var_name"
Comments,"Single Line Comment, Multi Line Comment, Documentation Comment, Braces and Code Block, Variables and Variable Name"
Braces and Code Block,"Curly Braces {}, Brackets [], Parentheses ()"
Variables and Variable Name,"Local variable, Instance Variable, Static Variable"
Introduction,"Java programming fundamentals, Strongly typed language, Declaration of variables, Data types, Operators"
Data types,"Operator precedence, Compiler decisions, Primitive data types, Non-primitive data types, Type declaration, Variable allocation, Integer, Floating-point, Character, Boolean"
Primitive Data Types,"byte, short, int, long, float, double, char, boolean, Size of data types, Default values, Integer group, Floating-point group, Character group, Boolean group"
byte,"Size of byte, Default value, Signed two’s complement integer, Value range, Syntax of declaration"
short,"Signed two’s complement integer, Value range, Syntax of declaration"
int,"32 bits signed two’s complement integer, Value range, Syntax of declaration"
long,"64 bits signed two’s complement integer, Value range, Syntax of declaration"
float,"Single precision 32 bits floating point, Default value, Smaller precision, Syntax of declaration"
double,"Double precision 64 bits floating point, Default value, Large precision, Syntax of declaration"
char,"16 bits Unicode character, Value range, Syntax of declaration"
boolean,"Logical values, Two possible values, Syntax of declaration"
Object Reference Types,"Primitive data types, Immutable objects, Java packages, Inheritance, Method overriding"
Class,"Object, Inheritance, Interface, Method, Variable"
Annotation,"Comments, Inheritance, Polymorphism, Method overriding, Object-oriented programming concepts"
Array,"List, Set, Collection, Map, Data structure"
Enumeration,"Iterator, Generics, Data structure, Looping, Indexing"
Interface,"Abstract class, Inheritance, Implementation, Constructor, Method overloading"
Strings,"StringBuilder, StringBuffer, Immutable objects, Data types, String manipulation methods"
String Literal,"Primitive data types, Memory allocation, Variable declaration, Control flow statements"
New keyword,"Constructor, Memory allocation, Garbage collection, Object instantiation, Java heap"
String methods,"StringBuffer methods, StringBuilder methods, Character class methods, Number manipulation"
AUTOBOXING AND UNBOXING,"The Automatic conversion of primitive type into its corresponding wrapper class type.<br>- The automatic conversion of object of wrapper type into its corresponding primitive type.<br>- List of primitive type and their corresponding wrapper type: byte (Byte), short (Short), int (Integer), long (Long), float (Float), double (Double), char (Character), boolean (Boolean)<br>- Example: Example code demonstrating autoboxing and unboxing."
OPERATORS AND PROPERTIES OF OPERATORS,"- Arithmetic Operators: + (Addition), - (Subtraction), * (Multiplication), / (Division), % (Modulus)<br>- Assignment Operators: = (Simple assignment), += (Addition Assignment), -= (Subtraction Assignment), *= (Multiplication Assignment), /= (Division Assignment), %= (Modulus Assignment)<br>- Increment and Decrement Operators: ++ (Increment Operator), -- (Decrement Operator)<br>- Relational Operators: == (Equal to), != (Not equal to), > (Greater than), < (Less than), >= (Greater than and equal to), <= (Less than and equal to)<br>- Logical Operators: && (Logical AND),"
Decision-Making Statements,"Loops (not directly related to decision-making), Functions (not directly related to decision-making), Object-oriented concepts (not directly related to decision-making)"
if Statement,"Switch statement (belongs to a different type of control statement), do while loop (belongs to loop statements), for loop (belongs to loop statements)"
if-else statement,"if-else-if ladder (an alternative approach to decision-making), Nested if-statement (an alternative approach to decision-making), Loop statements (not directly related)"
if-else-if ladder,"Nested if-statement (an alternative approach), Jump statements (not related to decision-making), Control statements (not directly related)"
Nested if-statement,"if-else statement (an alternative approach), for-each loop (belongs to loop statements), break statement (belongs to jump statements)"
Jump statements,"for loop (not related to jump statements), while loop (not related to jump statements), do while loop (not related to jump statements)"
Switch Statement,"If-else statements, Multiple branches, Variable comparison, Control flow, Break statement"
Loop Statements,"Iterative execution, Condition evaluation, Loop termination, Loop control, Loop types (for, while, do-while)"
Java for loop,"Loop variable initialization, Condition checking, Increment/decrement, Loop body, Loop termination"
Java for-each loop,"Iterating arrays, Iterating collections, Loop variable declaration, Loop body, Loop termination"
Java while loop,"Loop condition, Loop body, Loop variable update, Entry-controlled loop, Iterative execution"
Java do-while loop,"Loop body, Loop condition, Exit-controlled loop, Loop termination, Iterative execution"
Jump Statements,"Altering program flow, Loop control, Loop exit, Loop continuation, Conditional branching"
Java break statement,"Loop termination, Exiting loop prematurely, Conditional termination, Nested loops"
Java continue statement,"Skipping iteration, Continuing loop execution, Iteration control, Loop continuation, Loop skipping"
Class,"Objects, Class Declaration, Methods, Instance Variable, Main Method"
Class Declaration,"Objects, Methods, Main Method, Instance Variable, Method Overloading"
Objects,"Class, Class Declaration, Methods, Instance Variable, Passing Objects as Parameters"
Method,"Class, Class Declaration, Objects, Instance Variable, Methods with Parameters"
Main Method,"Class Declaration, Objects, Methods, Instance Variable, Methods with Parameters"
Instance Variable,"Class, Class Declaration, Objects, Methods, Methods with Parameters"
Methods with Parameters,"Class, Class Declaration, Objects, Method, Main Method"
Methods with Return Type,"Class, Class Declaration, Objects, Method, Method Overloading"
Method Overloading,"Class, Class Declaration, Objects, Method, Methods with Parameters"
Passing Objects as Parameters,"Class, Class Declaration, Objects, Method, Methods with Parameters"
Passing Values to methods and Constructor,"Class, Class Declaration, Objects, Method, Methods with Parameters"
Constructor,"Method, Object, Class, Memory Allocation"
Default Constructor,"Method Overloading, Static Constructor, Object Creation"
Parameterized Constructor,"Method Overriding, Class Initialization, Object Creation"
Constructor Overloading,"Method Overloading, Static Method, Method Overriding"
Copy Constructor,"Shallow Copy, Deep Copy, Object Cloning, Object Copying"
Super Keyword,"This Keyword, Inheritance, Parent Class, Child Class"
Static Keyword,"Non-Static Method, Instance Variable, Memory Management"
Static Variable,"Instance Variable, Global Variable, Class Variable"
Static Method,"Instance Method, Non-Static Method, Method Invocation"
Garbage Collection,"Memory allocation, Memory management, Dangling pointer bugs, Double free bugs"
Minor Garbage Collection,"Young generation heap memory, Incremental garbage collection, Application pauses"
Major Garbage Collection,"Old generation heap memory, Full garbage collection, Performance hit"
Stop-the-world,"JVM pause, Blocking pause, GC threads"
GC Techniques,"Serial GC, Parallel GC, Concurrent Mark Sweep (CMS), G1, Continuously Concurrent Compacting Collector (C4)"
Memory Efficiency,"Memory reclamation, Memory exhaustion, Memory leaks"
Multiple Inheritance in Java,Compile-time error due to ambiguity when inheriting from multiple classes
Abstract Class in Java,"- Abstraction in Java, which hides implementation details and shows functionality"
,- Ways to achieve abstraction: using abstract classes and interfaces
Abstract Method,- A method without implementation
,- Example of an abstract class with an abstract method and its implementation
Abstract Class with Members,"- Abstract class with data members, abstract methods, non-abstract methods, and constructors"
,- Example of a class inheriting from an abstract class and implementing its methods
Introduction to Inheritance,"Method Overriding, Code Reusability, Object-oriented programming system, IS-A relationship, Class, Sub Class/Child Class, Super Class/Parent Class, Reusability, Syntax of Java Inheritance"
Single Inheritance,"Multilevel inheritance, Hierarchical inheritance, Interface, Multiple inheritance, Superclass, Subclass, Extend keyword"
Multilevel Inheritance,"Single Inheritance, Hierarchical Inheritance, Interface, Multiple inheritance, Superclass, Subclass"
Hierarchical Inheritance,"Single Inheritance, Multilevel Inheritance, Interface, Multiple inheritance, Superclass, Subclass"
Interface in Java,"Static constants, Abstract methods, Achieving abstraction, Multiple inheritance, Method body, IS-A relationship, Instantiation, Default and static methods, Private methods, Loose coupling"
Reasons to use Java interface,"Abstraction, Multiple inheritance, Loose coupling"
Declaring an interface,"Interface keyword, Total abstraction, Empty method body, Public, static, and final fields, Implementing interface methods"
Relationship between classes and interfaces,"Extending another class, Implementing an interface, Extending another interface"
Example: Java Interface,"Interface methods, Interface implementation in classes, Output of interface methods"
Multiple inheritance in Java by interface,"Implementing multiple interfaces, Extending multiple interfaces"
Interface inheritance,"Extending another interface, Implementing methods from parent interfaces"
Default method in interface,"Method body in interface, Default method syntax, Implementation in implementing classes"
Static method in interface,"Static method in interface, Calling static method from implementing class"
Difference between abstract class and interface,"Abstract methods, Non-abstract methods, Multiple inheritance support, Variables, Implementation, Keyword usage, Extending/Implementing, Class members, Level of abstraction"
Package,"Built-in package, User-defined package, Classes, Interfaces, Subpackages"
Creating Packages,"package keyword, Compiling Java Package, Class inclusion in packages, Directory structure"
Default Packages,"java.io, java.lang, java.sql, java.time, java.util, java.applet, java.awt, java.net"
Importing Packages,"Using packagename.*, Using packagename.classname, Accessing classes/interfaces from packages, Syntax examples"
Using a Package,"import statement, Accessing classes/interfaces from imported packages, Example usage"
Java Array,"Constants, Functions, Data types, Class definitions, Input/output operations"
Single Dimensional Array,"Multidimensional Array, Vector Class, Object-oriented programming concepts, Control flow statements"
Multidimensional Array,"Single Dimensional Array, Vector Class, Object-oriented programming concepts, Control flow statements"
Vector Class,"Java Array, Single Dimensional Array, Multidimensional Array, Object-oriented programming concepts"
Multithreading in Java,"Multiprocessing, CPU utilization, Independent threads, Memory sharing, Games and animation, Context-switching"
Advantages of Java Multithreading,"Blocking, Single operation, Exception handling, Multitasking, Thread independence"
Multitasking,"Process-based multitasking, Thread-based multitasking, CPU utilization, Multiprocessing, Context-switching"
Process-based Multitasking,"Memory allocation, Communication cost, Time consumption, Process switching, CPU utilization, Memory segregation"
Thread-based Multitasking,"Address space sharing, Lightweight threads, Communication efficiency, Thread switching, Context-switching"
What is Thread in Java,"Lightweight sub-process, Independent execution path, Memory sharing, Exception handling, Common memory area"
Java Thread Class,"Thread creation, Runnable interface, Thread methods, Object class extension, Thread execution, Priority management"
Thread Class,"Object class, Runnable interface, Multithreading system, Constructors, Thread methods"
start(),"run(), sleep(), currentThread(), join(), getPriority(), setPriority(), getName(), setName(), getId(), isAlive(), yield(), suspend(), resume(), stop(), destroy(), isDaemon(), setDaemon(), interrupt(), isInterrupted(), activeCount(), checkAccess(), holdLock(), dumpStack(), getStackTrace(), enumerate(), getState(), getThreadGroup(), toString(), notify(), notifyAll()"
run(),"start(), sleep(), currentThread(), join(), getPriority(), setPriority(), getName(), setName(), getId(), isAlive(), yield(), suspend(), resume(), stop(), destroy(), isDaemon(), setDaemon(), interrupt(), isInterrupted(), activeCount(), checkAccess(), holdLock(), dumpStack(), getStackTrace(), enumerate(), getState(), getThreadGroup(), toString(), notify(), notifyAll()"
sleep(),"start(), run(), currentThread(), join(), getPriority(), setPriority(), getName(), setName(), getId(), isAlive(), yield(), suspend(), resume(), stop(), destroy(), isDaemon(), setDaemon(), interrupt(), isInterrupted(), activeCount(), checkAccess(), holdLock(), dumpStack(), getStackTrace(), enumerate(), getState(), getThreadGroup(), toString(), notify(), notifyAll()"
currentThread(),"start(), run(), sleep(), join(), getPriority(), setPriority(), getName(), setName(), getId(), isAlive(), yield(), suspend(), resume(), stop(), destroy(), isDaemon(), setDaemon(), interrupt(), isInterrupted(), activeCount(), checkAccess(), holdLock(), dumpStack(), getStackTrace(), enumerate(), getState(), getThreadGroup(), toString(), notify(), notifyAll()"
join(),"start(), run(), sleep(), currentThread(), getPriority(), setPriority(), getName(), setName(), getId(), isAlive(), yield(), suspend(), resume(), stop(), destroy(), isDaemon(), setDaemon(), interrupt(), isInterrupted(), activeCount(), checkAccess(), holdLock(), dumpStack(), getStackTrace(), enumerate(), getState(), getThreadGroup(), toString(), notify(), notifyAll()"
getPriority(),"start(), run(), sleep(), currentThread(), join(), setPriority(), getName(), setName(), getId(), isAlive(), yield(), suspend(), resume(), stop(), destroy(), isDaemon(), setDaemon(), interrupt(), isInterrupted(), activeCount(), checkAccess(), holdLock(), dumpStack(), getStackTrace(), enumerate(), getState(), getThreadGroup(), toString(), notify(), notifyAll()"
setPriority(),"start(), run(), sleep(), currentThread(), join(), getPriority(), getName(), setName(), getId(), isAlive(), yield(), suspend(), resume(), stop(), destroy(), isDaemon(), setDaemon(), interrupt(), isInterrupted(), activeCount(), checkAccess(), holdLock(), dumpStack(), getStackTrace(), enumerate(), getState(), getThreadGroup(), toString(), notify(), notifyAll()"
getName(),"start(), run(), sleep(), currentThread(), join(), getPriority(), setPriority(), setName(), getId(), isAlive(), yield(), suspend(), resume(), stop(), destroy(), isDaemon(), setDaemon(), interrupt(), isInterrupted(), activeCount(), checkAccess(), holdLock(), dumpStack(), getStackTrace(), enumerate(), getState(), getThreadGroup(), toString(), notify(), notifyAll()"
setName(),"start(), run(), sleep(), currentThread(), join(), getPriority(), setPriority(), getName(), getId(), isAlive(), yield(), suspend(), resume(), stop(), destroy(), isDaemon(), setDaemon(), interrupt(), isInterrupted(), activeCount(), checkAccess(), holdLock(), dumpStack(), getStackTrace(), enumerate(), getState(), getThreadGroup(), toString(), notify(), notifyAll()"
getId(),"start(), run(), sleep(), currentThread(), join(), getPriority(), setPriority(), getName(), setName(), isAlive(), yield(), suspend(), resume(), stop(), destroy(), isDaemon(), setDaemon(), interrupt(), isInterrupted(), activeCount(), checkAccess(), holdLock(), dumpStack(), getStackTrace(), enumerate(), getState(), getThreadGroup(), toString(), notify(), notifyAll()"
isAlive(),"start(), run(), sleep(), currentThread(), join(), getPriority(), setPriority(), getName(), setName(), getId(), yield(), suspend(), resume(), stop(), destroy(), isDaemon(), setDaemon(), interrupt(), isInterrupted(), activeCount(), checkAccess(), holdLock(), dumpStack(), getStackTrace(), enumerate(), getState(), getThreadGroup(), toString(), notify(), notifyAll()"
yield(),"start(), run(), sleep(), currentThread(), join(), getPriority(), setPriority(), getName(), setName(), getId(), isAlive(), suspend(), resume(), stop(), destroy(), isDaemon(), setDaemon(), interrupt(), isInterrupted(), activeCount(), checkAccess(), holdLock(), dumpStack(), getStackTrace(), enumerate(), getState(), getThreadGroup(), toString(), notify(), notifyAll()"
suspend(),"start(), run(), sleep(), currentThread(), join(), getPriority(), setPriority(), getName(), setName(), getId(), isAlive(), yield(), resume(), stop(), destroy(), isDaemon(), setDaemon(), interrupt(), isInterrupted(), activeCount(), checkAccess(), holdLock(), dumpStack(), getStackTrace(), enumerate(), getState(), getThreadGroup(), toString(), notify(), notifyAll()"
resume(),"start(), run(), sleep(), currentThread(), join(), getPriority(), setPriority(), getName(), setName(), getId(), isAlive(), yield(), suspend(), stop(), destroy(), isDaemon(), setDaemon(), interrupt(), isInterrupted(), activeCount(), checkAccess(), holdLock(), dumpStack(), getStackTrace(), enumerate(), getState(), getThreadGroup(), toString(), notify(), notifyAll()"
stop(),"start(), run(), sleep(), currentThread(), join(), getPriority(), setPriority(), getName(), setName(), getId(), isAlive(), yield(), suspend(), resume(), destroy(), isDaemon(), setDaemon(), interrupt(), isInterrupted(), activeCount(), checkAccess(), holdLock(), dumpStack(), getStackTrace(), enumerate(), getState(), getThreadGroup(), toString(), notify(), notifyAll()"
destroy(),"start(), run(), sleep(), currentThread(), join(), getPriority(), setPriority(), getName(), setName(), getId(), isAlive(), yield(), suspend(), resume(), stop(), isDaemon(), setDaemon(), interrupt(), isInterrupted(), activeCount(), checkAccess(), holdLock(), dumpStack(), getStackTrace(), enumerate(), getState(), getThreadGroup(), toString(), notify(), notifyAll()"
isDaemon(),"start(), run(), sleep(), currentThread(), join(), getPriority(), setPriority(), getName(), setName(), getId(), isAlive(), yield(), suspend(), resume(), stop(), destroy(), setDaemon(), interrupt(), isInterrupted(), activeCount(), checkAccess(), holdLock(), dumpStack(), getStackTrace(), enumerate(), getState(), getThreadGroup(), toString(), notify(), notifyAll()"
setDaemon(),"start(), run(), sleep(), currentThread(), join(), getPriority(), setPriority(), getName(), setName(), getId(), isAlive(), yield(), suspend(), resume(), stop(), destroy(), isDaemon(), interrupt(), isInterrupted(), activeCount(), checkAccess(), holdLock(), dumpStack(), getStackTrace(), enumerate(), getState(), getThreadGroup(),"
Life Cycle of a Thread,"New, Runnable, Running, Non-Runnable (Blocked), Terminated, Thread scheduler, JVM control, Invocation of start() method, run() method, Thread states according to Sun (4 states), Terminated state when run() method exits"
Thread Creation,"Two ways to create threads (Extending Thread class, Implementing Runnable interface), Constructors of Thread class (Thread(), Thread(String name), Thread(Runnable r), Thread(Runnable r, String name)), Methods of Thread class (run(), start(), sleep(long milliseconds), join(), getPriority(), setPriority(), getName(), setName(), currentThread(), getId(), getState(), isAlive(), yield(), suspend(), resume(), stop(), isDaemon(), setDaemon(boolean b), interrupt(), isInterrupted(), interrupted())"
Synchronization in Java,"Controlling access to shared resources, Types of synchronization (Process Synchronization, Thread Synchronization), Thread synchronization (Mutual Exclusive, Inter-thread communication), Benefits of synchronization, Synchronized method, Synchronized block, Static synchronization, Cooperation in thread communication"
Mutual Exclusive,"Preventing thread interference, Preventing consistency problems, Synchronized method, Synchronized block, Static synchronization, Example of mutual exclusion in Java (by synchronized method, by synchronized block, by static synchronization)"
Exception,"Normal flow, Error handling, Special values, Flag setting, Abnormal condition"
Exception Handling,"Runtime errors, Class Not Found, IO, SQL, Remote, Mechanism, Advantage, Java keywords"
Hierarchy of Java Exception Classes,"Checked Exception, Unchecked Exception, Error, Throwable, Runtime Exception"
Type of Exception,"Checked Exception, Unchecked Exception, Error, Checked at compile-time, Unchecked at runtime"
Common Scenarios,"Arithmetic Exception, Null Pointer Exception, Number Format Exception, Array Index Out Of Bounds Exception"
Java Exception Handling Keywords,"try, catch, finally, throw, throws"
Java Try Block,"Enclosing code, Followed by catch or finally, Syntax, Usage"
Java Catch Block,"Handling the Exception, Multiple catch blocks, Problem without exception handling"
Java Finally Block,"Executing important code, Always executed, Following try block, Usage"
Java Throw Exception,"Explicitly throwing an exception, Custom exceptions, Syntax"
throws keyword,"throw keyword, Checked exceptions propagation, Exception handling, Error handling, Method signatures"
Checked exceptions,"Unchecked exceptions, Errors, Propagation, Exception handling, Method declarations"
throw keyword,"throws keyword, Checked exceptions handling, Unchecked exceptions, Error propagation, Method implementation"
Error handling,"Exception handling, try-catch blocks, finally block, Checked exceptions, Unchecked exceptions"
Method signatures,"Method implementation, Method overloading, Method invocation, Method declaration, Parameter types"
Unchecked exceptions,"Checked exceptions, Errors, Exception handling, Propagation, Runtime exceptions"
Input,"Output, Applications development, Stream classes"
Output,"Input, Applications development, Stream classes"
Java I/O,"Stream, Stream classes, File handling"
Stream,"Java I/O, File handling, Output"
System.out,"System.in, System.err, Input stream"
System.in,"System.out, System.err, Output stream"
System.err,"System.out, System.in, Input stream"
Output Stream,"Input Stream, File handling, Peripheral device"
Input Stream,"Output Stream, File handling, Peripheral device"
File Output Stream,"File handling, File Writer, Character-oriented data"
Java FileOutputStream,"File handling, File Writer, Primitive values"
File Input Stream,"File handling, File Reader, Character-oriented data"
Java FileInputStream,"File handling, File Reader, Byte-oriented data"
Byte Array Output Stream,"Multiple files, Byte array, Buffer growth"
Java ByteArrayOutputStream,"Byte array, Multiple streams, Buffer growth"
Byte Array Input Stream,"Byte array, Char Array Reader, Buffer growth"
Java CharArrayReader,"Char Array Reader, Char Array, Character-oriented data"
Char Array Writer class,"FileWriter class, BufferedWriter class, CharArrayReader class, CharArrayWriter methods, Java I/O concepts"
Java File class,"File handling in C++, BufferedReader class, File class in Python, File class constructors, Java I/O concepts"
Reading and Writing Files,"Stream classes, InputStreamReader class, OutputStreamWriter class, DataInputStream class, Java I/O concepts"
Event Handling,"GUI-based programs, Graphical User Interface, AWT, Delegation Event Model, Event Processing"
Event,"State change, Object, GUI interaction, Timer expiration, Inheritance, Event Classes"
Event Classes,"ActionEvent, MouseEvent, KeyEvent, ItemEvent, TextEvent, AdjustmentEvent, WindowEvent, ComponentEvent"
Listener Interfaces,"ActionListener, MouseListener, MouseMotionListener, MouseWheelListener, KeyListener, ItemListener, TextListener, AdjustmentListener, WindowListener, ComponentListener"
ActionListener,"ActionListenerEx class, actionPerformed() method"
ItemListener,"ItemListenerEx class, itemStateChanged() method"
WindowListener,"WindowListenerEx class, windowOpened(), windowClosing(), windowClosed(), windowIconified(), windowDeiconified(), windowActivated(), windowDeactivated() methods"
KeyListener,"KeyListenerEx class, keyTyped(), keyPressed(), keyReleased() methods"
MouseListener,"MouseListenerEx class, mouseClicked(), mouseEntered(), mouseExited(), mousePressed(), mouseReleased() methods"
MouseMotionListener,"MouseMotionListenerEx class, mouseDragged(), mouseMoved() methods"
Mouse Motion Listener,"Adapter classes, Inner classes, Nested Inner Class, Method Local Inner Class, Anonymous Inner Class, Static Nested Class"
